candid,dec,fid,jd,magpsf,objectId,ra,sigmapsf
1526213020015010001,45.5922051,1,2459280.7130208,19.17446,ZTF18aahqkbt,123.8609183,0.07749157400000001
1524425564415015008,27.4405887,2,2459278.9255671,19.630056,ZTF20abnorit,171.3584766,0.12999073
1522215320015010000,45.5922251,1,2459276.7153241,19.207876,ZTF18aahqkbt,123.860948,0.07260236
1521309090515010009,1.6927959000000001,1,2459275.8090972,16.469236,ZTF18acpdvos,151.7119751,0.029778179000000002
1521223434415015007,27.4406872,1,2459275.7234375,19.64229,ZTF20abnorit,171.358555,0.20016474
1521167143915010000,34.2621835,1,2459275.6671412,20.066072,ZTF18aabtxvd,119.2272265,0.17245005
1520162850015010000,45.5922787,1,2459274.6628588,19.206266,ZTF18aahqkbt,123.8608779,0.17707297
1519377370515010017,1.6927747,1,2459273.8773727,16.496874,ZTF18acpdvos,151.711999,0.043047417000000004
1518180430015010004,45.5921662,1,2459272.6804398,19.129953,ZTF18aahqkbt,123.8609697,0.18155213
1516254050515010003,1.6927746,1,2459270.7540509,16.498938,ZTF18acpdvos,151.7120023,0.033010934
1514489884415015011,27.440598,1,2459268.9898843,19.526594,ZTF20abnorit,171.3584576,0.10615411
1514350164415015011,27.4406092,2,2459268.850162,19.679907,ZTF20abnorit,171.3584651,0.1492498
1514226010515010005,1.6927818000000001,1,2459268.7260185,16.486176,ZTF18acpdvos,151.7119919,0.030393258000000003
1512278690515010017,1.6927707,1,2459266.7786921,16.454979,ZTF18acpdvos,151.7119963,0.030974982
1512154890015010000,45.5922097,1,2459266.6548958,19.10355,ZTF18aahqkbt,123.8608418,0.14313541
1506193943915010000,34.2621472,1,2459260.6939468,20.151218,ZTF18aabtxvd,119.2272744,0.2111509
1504371150515010010,1.6927873999999998,1,2459258.8711574,16.467464,ZTF18acpdvos,151.7119919,0.038141385
1503138690815015003,85.0088154,2,2459257.6386921,19.875849,ZTF20abfcszi,7.8046416,0.1981102
1502492304415015005,27.4406203,1,2459256.9923032,19.473736,ZTF20abnorit,171.3584429,0.09427182
1502398154415015012,27.440604,2,2459256.8981597,19.802044,ZTF20abnorit,171.3584726,0.10753054000000001
1502297283915010000,34.2621216,1,2459256.7972801,19.894482,ZTF18aabtxvd,119.2273,0.1395325
1502138144115015004,85.0087995,1,2459256.6381481,20.248808,ZTF20abfcszi,7.8068059,0.19031966
1500443774415015026,27.4406553,1,2459254.9437731,19.647612,ZTF20abnorit,171.3583949,0.19630371
1500399754415015011,27.440593,2,2459254.8997569,20.04573,ZTF20abnorit,171.3584793,0.13088131
1500226523915010000,34.2621186,1,2459254.7265278,20.060972,ZTF18aabtxvd,119.2272941,0.12288125
1500212404115015006,85.0088342,1,2459254.7124074,20.018093,ZTF20abfcszi,7.8054699,0.17414029
1499237580015010000,45.5921953,1,2459253.737581,19.134695,ZTF18aahqkbt,123.8608907,0.08602013
1499155390815015006,85.0088407,2,2459253.6553935,19.688457,ZTF20abfcszi,7.8062463,0.1839171
1498491934415015018,27.4406227,1,2459252.9919329,19.520224,ZTF20abnorit,171.3584457,0.09341413
1498320244415015008,27.440617,2,2459252.8202431,19.676205,ZTF20abnorit,171.3584864,0.11713869
1498250033915010000,34.2621089,1,2459252.7500347,19.92806,ZTF18aabtxvd,119.227302,0.14487339999999999
1498188624115015003,85.0088567,2,2459252.6886227,19.927511,ZTF20abfcszi,7.8056640999999996,0.15825042
1497264450015010002,45.5922217,1,2459251.764456,19.177275,ZTF18aahqkbt,123.8609283,0.07765677600000001
1497217680015010000,45.5922112,2,2459251.7176852,19.64929,ZTF18aahqkbt,123.8608285,0.11657573
1497197980815015005,85.0088815,2,2459251.6979861,19.602804,ZTF20abfcszi,7.8048692,0.12560757
1497154320815015005,85.0088329,1,2459251.6543287,20.191044,ZTF20abfcszi,7.8053156999999995,0.20643464
1496379244415015011,27.440592,2,2459250.8792477,19.770414,ZTF20abnorit,171.3584125,0.13437733
1496368134415015013,27.4405209,1,2459250.8681366,19.568666,ZTF20abnorit,171.358402,0.107176356
1494463714415015008,27.4406271,1,2459248.9637153,19.413738,ZTF20abnorit,171.3584199,0.11460986000000001
1494420944415015011,27.4405853,2,2459248.9209491,19.844534,ZTF20abnorit,171.3584297,0.16051269999999998
1494226603915010000,34.2620557,1,2459248.7266088,20.00497,ZTF18aabtxvd,119.2272719,0.21201035000000001
1478283373915010001,34.262133,1,2459232.7833796,19.968641,ZTF18aabtxvd,119.2272521,0.13559738
1478266400815015001,85.0087806,1,2459232.7664005,19.829828,ZTF20abfcszi,7.8049605,0.13177617
1478155480815015005,85.0088001,2,2459232.6554861,19.928186,ZTF20abfcszi,7.8054266,0.1331794
1478113503915015004,-9.6141208,1,2459232.6135069,20.178942,ZTF20abowque,34.4747855,0.16668262
1477464434415015016,27.4405594,2,2459231.9644329,19.818039,ZTF20abnorit,171.3584642,0.10025547
1477422364415015012,27.4406135,1,2459231.9223611,19.339735,ZTF20abnorit,171.3584458,0.07628392
1477324930015010000,45.5922144,2,2459231.8249306,19.555204,ZTF18aahqkbt,123.8606479,0.14091025000000001
1477261800015010002,45.5921897,1,2459231.7618056,19.153078,ZTF18aahqkbt,123.8608984,0.07769326
1476411933915010000,34.262097,1,2459230.9119329,20.258888,ZTF18aabtxvd,119.2272705,0.16638221
1476234680815015004,85.008813,2,2459230.7346875,19.80342,ZTF20abfcszi,7.8062186,0.19506258
1476195520815015003,85.0087984,1,2459230.6955208,19.775965,ZTF20abfcszi,7.8055111,0.13196921
1475314620015010003,45.5922879,1,2459229.8146296,19.0737,ZTF18aahqkbt,123.8608497,0.100230016
1474421950515010015,1.6927927,1,2459228.921956,16.476547,ZTF18acpdvos,151.7119898,0.025410283000000002
1474263313915010000,34.2621409,1,2459228.7633102,20.035389,ZTF18aabtxvd,119.2272443,0.1965625
1474253980815015004,85.008869,1,2459228.7539815,19.972643,ZTF20abfcszi,7.8047453,0.18425189
1474235410815015004,85.0088436,2,2459228.7354167,19.533516,ZTF20abfcszi,7.8059375,0.15920119
1472311643915010000,34.2620776,1,2459226.8116435,20.07597,ZTF18aabtxvd,119.2272655,0.20500588
1472257920815015010,85.0088186,2,2459226.7579282,19.50439,ZTF20abfcszi,7.8065283,0.14122163000000001
1471443664415015011,27.4406069,1,2459225.943669,19.203682,ZTF20abnorit,171.3584601,0.12622964
1471411654415015016,27.4405829,2,2459225.9116551,19.59873,ZTF20abnorit,171.3584377,0.14458755
1471339780015010001,45.5921753,1,2459225.8397801,19.177456,ZTF18aahqkbt,123.8608566,0.07928794
