d:snn_sn_vs_all,d:snn_snia_vs_nonia,candid,dec,fid,jd,magpsf,objectId,ra,sigmapsf
0.0171702057,0.8319138288,1291353194115015005,85.0088476,2,2459045.8531944,18.749884,ZTF20abfcszi,7.8066689,0.08762533
0.3203253448,0.9081843495,1291352700815015003,85.0088108,2,2459045.8527083,18.764744,ZTF20abfcszi,7.8066413,0.07089326
0.5041773915000001,0.5753945708,1290195530915015009,23.3724274,1,2459044.6955324,19.638557,ZTF20abjwvae,239.1072097,0.105597384
0.29556837680000003,0.7482952476,1289212232315015004,25.0013048,1,2459043.7122338,19.423353,ZTF20abefeab,235.0636007,0.10050301
0.2982571423,0.8369699717,1288387394115015001,85.008866,2,2459042.8873958,18.822565,ZTF20abfcszi,7.8061436,0.06287459000000001
0.411795795,0.8568012118,1288386900815015003,85.0088374,2,2459042.8869097,18.686455,ZTF20abfcszi,7.8062752,0.07801529
0.23966702820000002,0.7026625872000001,1288337314115015006,85.0088107,1,2459042.8373148,18.700418,ZTF20abfcszi,7.8063917,0.08245013
0.8675056696000001,0.8000769615000001,1288324540815015004,85.0088728,1,2459042.8245486,18.625095,ZTF20abfcszi,7.8064892,0.07016494
0.0,0.0,1287225670115015022,30.6920711,1,2459041.7256713,20.331818,ZTF18acaqdaa,262.0163326,0.18653883000000002
0.3724975884,0.5412621498,1287212180915015019,23.372465,1,2459041.7121875,19.843805,ZTF20abjwvae,239.1072141,0.16089256
0.2399162054,0.8952014446000001,1286232212315015001,25.0013135,1,2459040.7322106,19.280134,ZTF20abefeab,235.0635959,0.10488164400000001
0.40319588780000004,0.8961378336,1286198042315015008,25.0013059,2,2459040.698044,19.369993,ZTF20abefeab,235.063588,0.09081079
0.6076595187,0.83005023,1285449610815015001,85.0088623,2,2459039.9496181,18.895538,ZTF20abfcszi,7.8061413,0.10580106
