id,type,reference_time,amplitude,rise_time,temperature,r_chisq,err_reference_time,err_amplitude,err_rise_time,err_temperature
ZTF20abyxjvm,SN IIn,2459102.1107850955,1755329926998393.5,9.432081627001528,14516.366833175247,0.3341704123463899,0.943084109414228,10.045587069592282,2.1280827833855787,1497.5062834372693
ZTF20abyxnjo,SN Ia,2459104.4863902363,701617609796647.2,2.0840657475635083,7804.370826240014,0.4539534104763566,0.25330740621068304,0.49510290762802,0.23748569058468366,378.6252062497588
ZTF20abyxuky,SN Ia,2459104.013675284,946696653532439.6,4.1509447044528605,9280.92330575053,0.10952263556835248,0.3728186009282325,2.68672929472958,0.6891916284545707,812.2999140925203
ZTF20abyyfmw,SN Ia,2459108.680605415,751863697698147.2,2.7851011359438385,7613.9010887999475,0.0917260152781662,0.05428062127346839,0.18034116744642503,0.046752087114422136,179.04047209642385
ZTF20abyzbxa,SN Ia,2459092.075714697,1200150820893647.2,0.5732232169709913,13770.527405246448,12.1476063152755,0.3366988718873163,2.3234134589915785,23.42267137772147,1370.4372481266983
ZTF20abyzgzj,SN Ia,2459103.5729931113,827943922699319.6,3.0177256431792507,9107.900106558624,0.28272045954092156,1.0482648212394303,1.911032289106414,0.7701597917570489,409.8963204835809
ZTF20abyznqs,SN Ibn,2459077.462313328,1320912816243774.5,9.63248576360312,13233.602668109717,1.4024834911321737,37.465902557752415,4.8236301494508105,7.027736158934546,1113.375409861187
ZTF20abyzoof,SN II,2458879.8002601294,578673760662684.0,19.054106841934722,5302.752954857096,1.3655352140020411,66.54193243382818,0.2797227754285525,20.167354164797406,240.04847141843993
ZTF20abyzprl,SN II,2459120.9812689745,2488101746142038.5,11.779239522029249,10384.790165088836,2.6659170868672546,0.0,0.0,0.0,0.0
ZTF20abzaknn,SN Ia,2459107.8427607208,1122629380992722.5,2.9697703040962837,11375.379924825244,0.08085074819647645,0.2316164503399919,2.0032490479509484,0.4137722994931757,1603.352333323749
ZTF20abzbfct,SN Ia,2459112.536172227,811625370916193.0,2.714435965088171,7769.790623074848,0.6749944274934001,0.107783064490722,0.35815163933621763,0.0530423531748217,288.36774484204534
ZTF20abzcefc,SN II,2459105.4038715824,632405557321319.6,2.2741386004280106,5619.889142584593,0.1661670212937833,0.6564979910597324,0.6830658841710968,0.8553084996785784,608.0072107210167
ZTF20abzcokv,SN Ia,2459107.4878626056,869913784792873.1,3.138701292069241,8997.876401317724,0.24837485706134757,0.08438258477555327,0.5362354369874414,0.1389060808631934,354.1277910914141
ZTF20abzcsbt,SN Ia,2459108.821532429,679476480117114.9,2.8687354781955534,6458.350838236418,0.13548712283410788,0.05276353511064524,0.15437778969341043,0.05843279886688252,130.17470567956207
ZTF20abzfoyg,SN Ia,2459108.893269993,1445712251615184.2,3.632296276265288,11869.621497047792,0.5043995549690997,1.6025107685557791,8.278149066056836,1.4390820260328536,2248.8592898532415
ZTF20abzgfhl,SN Ia,2459105.674734553,1220458905751073.5,5.4982296329821345,10660.056815284848,0.05012432268584216,1.9359996507842319,25.379263197011998,3.913366540481001,1793.0450107330616
ZTF20abzhwtq,SN Ia,2459104.180146271,1406750432854307.0,5.459923763372084,11561.884089443045,0.8038390468433058,1.1520456391408176,28.78421259037418,1.6353607816790894,975.0634275180055
ZTF20abzjcdg,SN Ic,2459105.2203444093,966210442807405.4,2.495309770885637,9800.07520320111,0.4447694073214167,3.3758536514612345,6.603927686272417,4.140933768811992,1494.7772802565532
ZTF20abzjoxd,SN IIn,2459109.5635969667,1126815600296272.0,5.8338640846398215,10817.11930192614,0.22295680712156282,0.6243999882851324,3.3598274823121175,0.6495009234442153,809.6605521700503
ZTF20abzjvse,SN Ia,2459114.0876176055,1353293857981718.2,3.8633770736459594,10893.3126487977,0.09577686361066017,0.20809777410319777,1.1742419440992453,0.10371628067640315,506.3875941210217
ZTF20abzoaas,SN II,2459003.308156923,639467005340960.8,9.067502180741272,6050.683076099026,5.0492088576745315,29.545741570923468,0.19316222653169302,26.867313709116054,198.19661340555558
ZTF20abzpxxu,SN Ia,2459110.436427461,969631728035069.2,2.8888346957967883,9737.550899007229,0.39085530409848157,0.16667943889257986,1.0352560742675747,0.19306317172632903,587.5896143522432
ZTF20abzqlts,SN II,2459109.0640851553,1330622632927712.2,0.8845658436473217,12925.044015932202,0.30998475497773414,0.09023735279061007,2.4580062304830523,0.07982880638481668,1608.7760892003907
ZTF20abzvxyk,SN Ia,2459111.5212669796,918233297556549.4,3.213301332996327,9084.60951321404,0.26948515268863665,0.1681966027857526,0.7219146683479236,0.18037328956734067,448.0187151197788
ZTF20acaczen,SN Ia,2459110.271417204,1049673345547530.4,3.2879818897859767,9651.927845738079,0.37629891111439423,0.3675108486700456,1.6221240516032083,0.30714527935079755,1033.8334884202422
ZTF20acaiztt,SN II,2459109.963836038,1932675976466192.2,0.7368771303606222,17388.592205168494,0.5421312862505812,0.10226464740510044,25.811049332285236,0.10045198018032497,14551.88975234654
ZTF20acajvrj,SN Ia,2459115.2537893136,751280391603575.9,3.832331175229059,7106.686434678893,0.17102510731305984,0.3645504150323107,1.7581015700755334,0.5649196057895733,474.0119833568551
ZTF20acauthg,SN Ia,2459113.3784142765,905770678344288.2,3.6657887089124186,8574.603936469157,0.3940756647330214,0.3022665127849939,0.9735299065309473,0.19788509651141772,433.7285710904621
ZTF20acbakkg,SN Ia,2459112.9459184147,707955209256269.9,3.1209785505156704,5097.083686280005,0.4679214075326489,0.244179342198435,0.6764905955826301,0.29984366880655,185.72088549955424
ZTF20acbcfaa,SLSN-II,2459202.8888893267,1770624244967343.5,91.72923079219201,8237.472350707425,0.6615527854857683,5.320411343131029,38.60383205321362,6.294129769682089,552.3260681405063
ZTF20acbeanu,SN Ia,2459113.851252589,1010907505916339.6,2.2349347420540155,11345.45901961449,0.4256625931240969,0.1671361099868789,1.815604548085112,0.3991812363480282,625.513208256767
ZTF20acbekkx,SN IIn,2459114.7882762593,846318941734710.0,0.02394518458231557,10265.666865590618,22.026680356524988,0.09653227281591367,1.5510863713414436,0.11473278886266587,1396.4234984056366
ZTF20acberfr,SN Ia,2459116.7506427965,994316925777279.2,12.995879933989473,7691.559514661462,0.33762417619045787,13.336183329681628,26.402849915697885,9.200756915102678,380.7815294613142
ZTF20acbnoqi,SN Ia,2459128.142204894,2532150575101518.0,8.620263818997062,6138.912924663636,0.1490945173024036,9.029721027133924,30.728550041985216,1.6964520022705625,425.0116793444836
ZTF20acbnwyb,SN Ia,2459112.74869871,902771552052705.8,2.2017837266852696,9046.997629708678,0.14143042313984527,0.17886009567950706,0.8144046632211088,0.1754799705711637,721.7768372482142
ZTF20acbovrt,SN Ia,2459116.3976250635,1358448990741280.2,2.0135354839082718,12253.749981144814,0.6105376988456009,0.15500766306148822,1.2147643871251335,0.06314229854729031,837.2370011998937
ZTF20acbttnt,SN Ia-91T-like,2459113.778139687,1154007051404053.5,2.730235776939631,12205.102859164248,0.19945597412501376,0.2219018686678229,2.3052371398422817,0.4729866017031296,866.5003188852907
ZTF20accagnf,SN Ia,2459117.5490414924,936302990956455.9,2.233812921263857,10997.797054288221,0.20498868222349872,0.09183643227034799,1.1981810867822467,0.05252930851286547,1019.9368262107519
ZTF20accbsxa,SN Ic,2459115.7594934874,782042055408395.2,2.469888000168586,8823.943205499774,0.5224867765554202,0.1311721140416427,0.7944993022540712,0.09150693547585118,867.4707338821204
ZTF20acchxpm,SN Ia,2459120.640832761,890523736724869.5,0.13764917653197267,10086.640153257895,0.4658347981339048,1.515286599882734,5.039192358756258,2.075908200753376,2287.799270086937
ZTF20accovje,SN Ia,2459116.401488584,1181337359891595.5,2.3118225256710736,10020.622051053184,0.011499801873403846,0.6650534810877645,2.838228324520425,0.31660251598142075,1850.9622470719778
ZTF20accrkpa,SN II,2459118.881037306,757656455792640.0,8.007080357829075,8420.692668896316,0.4119517901429353,0.30966289859209295,1.2968222794979196,0.45122970269968765,783.501559434414
ZTF20accrldu,SN II,2459115.0167707996,1148269478961794.5,0.9718126852643589,12055.878665650991,0.2559758758767132,0.1331143088470379,2.6234465527515924,0.21138207867046874,1292.0011292024974
ZTF20accsfkt,SN Ia,2459121.36853808,2923910403533831.5,2.7457549199504774,11438.773670976958,0.6065324295549207,3.589655651057888,31.420408811225062,0.5752077832152837,1753.4949545397676
ZTF20acctbbw,SN Ia,2459115.107872275,749733875922167.0,2.195139168111444,6227.638083965803,0.28717961758222893,0.5700192287266328,1.5007321382233525,0.3774371960252364,696.2751406976408
ZTF20accxzmn,SN Ia,2459119.7890478144,951303848390064.2,3.7582668723607386,8782.016191692697,0.3344497242272257,0.5616796576611344,2.866768053043498,0.7919639619645942,423.00287530982587
ZTF20acczeov,AGN,2459266.8552934253,895875176710502.6,0.13743487632777246,10488.039434207356,64.12222223540194,0.7631277575663684,4.373221482316878,1.699365285477372,2174.4523230586037
