id,type,MJD,FLT,FLUXCAL,FLUXCALERR
ZTF17aaazdba,TDE,2458512.8183681,r,-91.98224631715,26.963799
ZTF17aaazdba,TDE,2458512.8214699,r,28.62010694938,24.789396
ZTF17aaazdba,TDE,2458512.8219329,r,48.11689729075,29.797031
ZTF17aaazdba,TDE,2458512.8250231,r,-148.08242691556,32.497818
ZTF17aaazdba,TDE,2458512.8254861,r,195.903362606,36.621475
ZTF17aaazdba,TDE,2458512.8285648,r,23.39298295648,25.525061
ZTF17aaazdba,TDE,2458512.8290394,r,3.9100340562,35.424278
ZTF17aaazdba,TDE,2458512.8320949,r,-230.21310911843,26.15346
ZTF17aaazdba,TDE,2458512.8325694,r,-171.80860411284,35.261612
ZTF17aaazdba,TDE,2458512.835625,r,10.46310373927,40.163662
ZTF17aaazdba,TDE,2458512.836088,r,-104.63488318636,39.198761
ZTF17aaazdba,TDE,2458512.8396065,r,-285.25847877249,41.909451
ZTF17aaazdba,TDE,2458512.8500694,r,435.92072574452,42.075764
ZTF17aaazdba,TDE,2458512.8535532,r,86.1227553623,49.14727
ZTF17aaazdba,TDE,2458512.8565509,r,101.53332251717,37.331417
ZTF17aaazdba,TDE,2458512.8570139,r,-359.29225774837,40.30241
ZTF17aaazdba,TDE,2458512.8600116,r,30.89935728532,42.72541
ZTF17aaazdba,TDE,2458512.8604745,r,-9.98005659329,45.292686
ZTF17aaazdba,TDE,2458512.8634606,r,-164.01579816466,37.286198
ZTF17aaazdba,TDE,2458512.8639236,r,-138.21201499626,49.047607
ZTF17aaazdba,TDE,2458512.8668981,r,-46.59373016816,39.955517
ZTF17aaazdba,TDE,2458512.8673611,r,-47.02468290161,44.631439
ZTF17aaazdba,TDE,2458512.8703356,r,56.5290764885,46.030392
ZTF17aaazdba,TDE,2458512.870787,r,-7.47272498277,46.245232
ZTF17aaazdba,TDE,2458512.8737616,r,59.75706110673,46.980995
ZTF17aaazdba,TDE,2458512.8742245,r,-32.28135735087,47.831402
